word,count
wish,I,hadnt,4
about,in,the,4
to,make,out,4
it,must,be,4
was,the,first,4
I,beg,your,4
beg,your,pardon,4
is,such,a,4
Alice,went,on,4
change,the,subject,4
should,like,to,4
At,last,the,4
did,said,the,4
thing,said,the,4
in,an,offended,4
an,offended,tone,4
with,one,finger,4
to,Alice,and,4
as,it,was,4
and,Alice,was,4
I,dont,think,4
as,she,had,4
and,the,other,4
indeed,said,the,4
to,herself,I,4
out,of,a,4
out,of,its,4
of,its,mouth,4
its,mouth,and,4
might,as,well,4
was,sitting,on,4
the,Caterpillar,Well,4
You,are,old,4
she,felt,that,4
said,Alice,who,4
you,said,the,4
every,now,and,4
in,the,same,4
up,into,the,4
side,of,the,4
to,get,in,4
at,the,top,4
at,all,said,4
at,the,end,4
like,the,look,4
the,look,of,4
Alice,and,she,4
and,she,went,4
March,Hare,said,4
just,as,well,4
the,Hatter,and,4
meaning,in,it,4
as,long,as,4
with,his,head,4
went,on,in,4
at,the,bottom,4
the,bottom,of,4
a,low,voice,4
the,Queen,was,4
and,the,Queen,4
your,Majesty,said,4
Off,with,her,4
turning,to,the,4
the,Queen,who,4
shouted,the,Queen,4
looked,at,Alice,4
close,to,her,4
King,and,the,4
tone,of,great,4
Mock,Turtle,said,4
the,dance,Will,4
dance,Will,you,4
Will,you,wont,4
will,you,wont,4
you,join,the,4
or,any,other,4
on,their,slates,4
King,said,to,4
the,next,witness,4
said,the,White,4
part,of,this,4
this,work,or,4
the,phrase,Project,4
phrase,Project,Gutenberg,4
the,full,Project,4
the,copyright,holder,4
Project,Gutenbergtm,trademark,4
Alices,Adventures,in,3
Adventures,in,Wonderland,3
for,the,use,3
or,online,at,3
ALICES,ADVENTURES,IN,3
ADVENTURES,IN,WONDERLAND,3
once,or,twice,3
dear,I,shall,3
I,shall,be,3
ought,to,have,3
looked,at,it,3
of,it,and,3
just,in,time,3
in,time,to,3
to,see,it,3
in,the,world,3
to,get,out,3
she,found,herself,3
for,she,had,3
but,it,was,3
it,was,too,3
thought,Alice,to,3
time,she,said,3
Let,me,see,3
for,you,see,3
was,not,a,3
good,opportunity,for,3
as,there,was,3
to,say,it,3
Alice,had,no,3
no,idea,what,3
I,wonder,if,3
I,shall,have,3
Do,you,think,3
nothing,else,to,3
cats,eat,bats,3
to,herself,in,3
had,just,begun,3
Alice,was,not,3
in,a,moment,3
she,looked,up,3
it,was,all,3
and,was,just,3
Alice,had,been,3
to,one,of,3
it,was,a,3
but,she,could,3
thought,poor,Alice,3
went,back,to,3
to,the,table,3
in,a,hurry,3
that,if,you,3
the,right,size,3
see,if,she,3
you,know,said,3
know,said,Alice,3
got,to,the,3
sat,down,and,3
theres,no,use,3
on,which,the,3
on,the,top,3
find,that,she,3
to,go,on,3
she,set,to,3
and,very,soon,3
the,moment,she,3
looked,down,at,3
down,at,her,3
Im,sure,I,3
a,great,deal,3
took,up,the,3
as,much,as,3
down,on,one,3
with,one,eye,3
and,began,to,3
You,ought,to,3
I,tell,you,3
was,a,large,3
a,little,pattering,3
little,pattering,of,3
see,what,was,3
was,the,White,3
a,pair,of,3
in,one,hand,3
one,hand,and,3
hand,and,a,3
and,a,large,3
in,the,other,3
as,hard,as,3
all,the,time,3
the,time,she,3
And,she,began,3
have,been,changed,3
I,used,to,3
to,repeat,it,3
and,the,words,3
her,hands,and,3
got,up,and,3
very,glad,to,3
in,her,life,3
come,to,the,3
a,number,of,3
was,in,the,3
much,said,Alice,3
said,Alice,as,3
what,it,was,3
it,was,only,3
So,she,began,3
you,know,the,3
thought,Alice,I,3
cried,the,Mouse,3
herself,as,she,3
the,Mouse,was,3
and,she,felt,3
indeed,said,Alice,3
to,change,the,3
as,it,went,3
if,you,dont,3
it,is,I,3
the,whole,party,3
said,the,Lory,3
know,what,it,3
in,a,melancholy,3
I,dont,believe,3
some,of,the,3
as,if,it,3
Why,said,the,3
to,do,it,3
to,try,the,3
she,could,The,3
at,last,and,3
certainly,said,Alice,3
of,the,sort,3
head,impatiently,and,3
as,soon,as,3
Hold,your,tongue,3
do,said,Alice,3
for,she,was,3
off,at,once,3
in,a,trembling,3
a,trembling,voice,3
Alice,said,to,3
in,a,minute,3
the,window,and,3
eat,or,drink,3
on,the,floor,3
and,said,to,3
it,was,very,3
there,seemed,to,3
no,sort,of,3
and,then,the,3
it,was,the,3
up,to,the,3
and,tried,to,3
in,at,the,3
thought,Alice,and,3
I,dont,like,3
I,only,wish,3
down,the,chimney,3
If,you,do,3
Alice,thought,to,3
to,begin,with,3
to,herself,and,3
As,soon,as,3
as,she,was,3
the,house,and,3
The,poor,little,3
about,it,and,3
into,the,air,3
at,the,stick,3
till,she,was,3
she,might,as,3
sitting,on,the,3
and,Alice,looked,3
took,the,hookah,3
the,hookah,out,3
hookah,out,of,3
I,dont,see,3
Im,afraid,I,3
the,Caterpillar,Alice,3
Alice,thought,she,3
In,my,youth,3
are,old,said,3
old,said,the,3
said,the,youth,3
right,said,the,3
you,want,to,3
like,to,be,3
used,to,it,3
other,side,of,3
was,out,of,3
a,little,of,3
that,there,was,3
which,seemed,to,3
of,the,trees,3
said,Alice,indignantly,3
the,Pigeon,but,3
said,Alice,Ive,3
and,just,as,3
you,said,Alice,3
the,number,of,3
it,in,a,3
or,two,she,3
looking,at,the,3
to,play,croquet,3
said,the,Footman,3
I,to,get,3
At,this,moment,3
all,said,the,3
you,like,said,3
like,said,the,3
sitting,on,a,3
you,tell,me,3
me,said,Alice,3
Alice,a,little,3
a,little,timidly,3
went,on,again,3
I,didnt,know,3
Alice,said,very,3
not,at,all,3
thought,it,would,3
Duchess,and,the,3
up,and,down,3
the,Duchess,said,3
you,like,the,3
with,the,Queen,3
the,Cheshire,Cat,3
it,doesnt,matter,3
be,said,the,3
it,at,all,3
the,Cat,and,3
looked,up,and,3
had,not,gone,3
to,see,the,3
the,Hatter,He,3
and,this,was,3
I,mean,what,3
You,might,just,3
might,just,as,3
as,well,say,3
is,the,same,3
same,thing,as,3
thing,as,I,3
said,turning,to,3
the,Hatter,I,3
at,the,March,3
of,meaning,in,3
dont,know,what,3
I,dare,say,3
Queen,of,Hearts,3
the,Hatter,went,3
Hatter,went,on,3
on,in,a,3
with,a,sigh,3
so,said,the,3
he,said,in,3
bottom,of,a,3
of,a,well,3
did,they,live,3
know,what,to,3
he,spoke,and,3
this,last,remark,3
with,an,M,3
not,said,the,3
just,as,she,3
who,had,been,3
Knave,of,Hearts,3
to,the,Knave,3
pack,of,cards,3
rest,of,the,3
the,Queen,in,3
your,Majesty,the,3
silent,and,looked,3
Alice,could,see,3
argument,was,that,3
and,the,moral,3
you,had,been,3
on,with,the,3
look,at,the,3
Mock,Turtle,in,3
Gryphon,and,the,3
to,the,Mock,3
in,a,deep,3
I,was,a,3
Mock,Turtle,went,3
Turtle,went,on,3
we,went,to,3
went,to,school,3
was,an,old,3
The,Mock,Turtle,3
Yes,said,Alice,3
Mock,Turtle,replied,3
the,Gryphon,went,3
Gryphon,went,on,3
as,if,he,3
cried,the,Gryphon,3
out,to,sea,3
to,the,Gryphon,3
not,join,the,3
could,not,would,3
not,would,not,3
he,said,to,3
of,the,Lobster,3
voice,of,the,3
Soooop,of,the,3
of,the,eeevening,3
the,eeevening,Beautiful,3
the,court,and,3
their,slates,and,3
your,Majesty,he,3
Give,your,evidence,3
or,Ill,have,3
Ill,have,you,3
have,you,executed,3
the,officers,of,3
officers,of,the,3
in,the,last,3
Im,a,poor,3
a,poor,man,3
the,King,The,3
she,had,grown,3
The,jury,all,3
and,how,she,3
Project,Gutenberg,is,3
you,do,not,3
complying,with,the,3
free,distribution,of,3
all,the,terms,3
not,agree,to,3
this,agreement,you,3
copies,of,Project,3
electronic,works,in,3
person,or,entity,3
as,set,forth,3
forth,in,paragraph,3
you,can,do,3
can,do,with,3
the,public,domain,3
If,an,individual,3
outside,the,United,3
to,the,full,3
electronic,work,is,3
permission,of,the,3
of,the,copyright,3
of,the,work,3
this,electronic,work,3
any,Project,Gutenbergtm,3
the,owner,of,3
owner,of,the,3
you,received,the,3
received,the,work,3
Project,Gutenbergs,Alices,2
Gutenbergs,Alices,Adventures,2
in,Wonderland,by,2
Wonderland,by,Lewis,2
by,Lewis,Carroll,2
This,eBook,is,2
eBook,is,for,2
is,for,the,2
use,of,anyone,2
of,anyone,anywhere,2
anyone,anywhere,at,2
anywhere,at,no,2
at,no,cost,2
no,cost,and,2
cost,and,with,2
and,with,almost,2
with,almost,no,2
almost,no,restrictions,2
no,restrictions,whatsoever,2
restrictions,whatsoever,You,2
whatsoever,You,may,2
You,may,copy,2
may,copy,it,2
copy,it,give,2
it,give,it,2
give,it,away,2
it,away,or,2
away,or,reuse,2
or,reuse,it,2
reuse,it,under,2
it,under,the,2
under,the,terms,2
Project,Gutenberg,License,2
Gutenberg,License,included,2
License,included,with,2
included,with,this,2
with,this,eBook,2
this,eBook,or,2
eBook,or,online,2
online,at,wwwgutenbergorg,2
OF,THIS,PROJECT,2
THIS,PROJECT,GUTENBERG,2
PROJECT,GUTENBERG,EBOOK,2
GUTENBERG,EBOOK,ALICES,2
EBOOK,ALICES,ADVENTURES,2
Alice,was,beginning,2
very,tired,of,2
on,the,bank,2
nothing,to,do,2
pictures,or,conversations,2
in,it,and,2
what,is,the,2
use,of,a,2
could,for,the,2
very,sleepy,and,2
when,suddenly,a,2
White,Rabbit,with,2
There,was,nothing,2
of,the,way,2
the,Rabbit,say,2
say,to,itself,2
thought,it,over,2
it,occurred,to,2
occurred,to,her,2
to,her,that,2
her,that,she,2
seemed,quite,natural,2
when,the,Rabbit,2
it,and,then,2
to,her,feet,2
after,it,and,2
was,just,in,2
get,out,again,2
for,some,way,2
that,Alice,had,2
not,a,moment,2
a,moment,to,2
to,think,about,2
make,out,what,2
what,she,was,2
here,and,there,2
to,her,great,2
for,fear,of,2
Down,down,down,2
must,be,getting,2
to,listen,to,2
listen,to,her,2
still,it,was,2
it,was,good,2
had,no,idea,2
she,began,again,2
wonder,if,I,2
if,I,shall,2
funny,itll,seem,2
with,their,heads,2
but,I,shall,2
shall,have,to,2
the,name,of,2
you,think,you,2
think,you,could,2
itll,never,do,2
never,do,to,2
else,to,do,2
to,do,so,2
my,dear,I,2
dear,I,wish,2
you,know,But,2
sort,of,way,2
Do,cats,eat,2
you,see,as,2
matter,which,way,2
felt,that,she,2
and,had,just,2
just,begun,to,2
hand,in,hand,2
saying,to,her,2
and,she,jumped,2
she,jumped,up,2
and,the,White,2
moment,to,be,2
to,be,lost,2
the,wind,and,2
was,close,behind,2
found,herself,in,2
a,row,of,2
all,round,the,2
the,hall,but,2
but,they,were,2
they,were,all,2
one,side,and,2
upon,a,little,2
there,was,nothing,2
was,nothing,on,2
nothing,on,it,2
of,the,hall,2
any,of,them,2
and,behind,it,2
she,tried,the,2
opened,the,door,2
and,found,that,2
get,her,head,2
of,very,little,2
very,little,use,2
wish,I,could,2
up,like,a,2
like,a,telescope,2
to,think,that,2
that,very,few,2
be,no,use,2
she,went,back,2
a,little,bottle,2
with,the,words,2
the,words,DRINK,2
words,DRINK,ME,2
she,had,read,2
and,she,had,2
very,soon,finished,2
What,a,curious,2
up,at,the,2
at,the,thought,2
the,thought,that,2
into,that,lovely,2
that,lovely,garden,2
she,felt,a,2
felt,a,little,2
a,little,nervous,2
little,nervous,about,2
I,should,be,2
tried,to,fancy,2
could,not,remember,2
not,remember,ever,2
remember,ever,having,2
seen,such,a,2
After,a,while,2
poor,Alice,when,2
she,got,to,2
the,door,she,2
she,found,she,2
she,could,see,2
could,see,it,2
of,the,table,2
the,table,but,2
that,said,Alice,2
to,leave,off,2
a,game,of,2
to,be,two,2
be,two,people,2
its,no,use,2
use,now,thought,2
Why,theres,hardly,2
her,eye,fell,2
on,a,little,2
it,and,found,2
and,if,it,2
if,it,makes,2
it,makes,me,2
makes,me,grow,2
the,garden,and,2
a,little,bit,2
top,of,her,2
of,her,head,2
her,head,to,2
and,she,was,2
surprised,to,find,2
the,same,size,2
it,seemed,quite,2
on,in,the,2
So,she,set,2
was,so,much,2
when,she,looked,2
at,her,feet,2
the,best,way,2
want,to,go,2
to,herself,how,2
the,roof,of,2
roof,of,the,2
nine,feet,high,2
feet,high,and,2
was,as,much,2
much,as,she,2
she,could,do,2
to,get,through,2
she,sat,down,2
began,to,cry,2
to,cry,again,2
to,be,ashamed,2
be,ashamed,of,2
ashamed,of,yourself,2
in,this,way,2
all,round,her,2
pattering,of,feet,2
the,distance,and,2
distance,and,she,2
pair,of,white,2
of,white,kid,2
the,Rabbit,came,2
kid,gloves,and,2
up,the,fan,2
fan,and,gloves,2
when,I,got,2
I,got,up,2
got,up,this,2
up,this,morning,2
think,I,can,2
she,began,thinking,2
began,thinking,over,2
children,she,knew,2
she,knew,that,2
been,changed,for,2
and,Im,sure,2
I,know,all,2
all,sorts,of,2
a,very,little,2
all,the,things,2
and,four,times,2
is,the,capital,2
the,capital,of,2
I,must,have,2
How,doth,the,2
doth,the,little,2
if,she,were,2
began,to,repeat,2
repeat,it,but,2
it,but,her,2
the,same,as,2
they,used,to,2
and,her,eyes,2
went,on,I,2
lessons,to,learn,2
Ill,stay,down,2
stay,down,here,2
their,heads,down,2
first,and,then,2
dear,cried,Alice,2
tired,of,being,2
this,she,looked,2
was,surprised,to,2
to,see,that,2
she,had,put,2
while,she,was,2
CAN,I,have,2
have,done,that,2
went,to,the,2
by,it,and,2
was,now,about,2
about,two,feet,2
two,feet,high,2
was,going,on,2
Alice,a,good,2
good,deal,frightened,2
sudden,change,but,2
glad,to,find,2
to,find,herself,2
to,the,little,2
again,and,the,2
lying,on,the,2
the,glass,table,2
I,never,was,2
never,was,so,2
that,it,is,2
and,in,another,2
up,to,her,2
was,that,she,2
had,been,to,2
she,soon,made,2
soon,made,out,2
made,out,that,2
which,she,had,2
when,she,was,2
as,she,swam,2
to,find,her,2
Just,then,she,2
a,little,way,2
out,what,it,2
it,was,at,2
at,first,she,2
thought,it,must,2
must,be,a,2
now,thought,Alice,2
way,out,of,2
Alice,thought,this,2
must,be,the,2
be,the,right,2
the,right,way,2
to,a,mouse,2
a,thing,before,2
before,but,she,2
looked,at,her,2
and,seemed,to,2
with,one,of,2
William,the,Conqueror,2
all,over,with,2
your,pardon,cried,2
pardon,cried,Alice,2
the,Mouse,in,2
in,a,shrill,2
cats,if,you,2
if,you,were,2
not,said,Alice,2
And,yet,I,2
I,think,youd,2
the,pool,and,2
such,a,nice,2
shes,such,a,2
such,a,capital,2
a,capital,one,2
capital,one,for,2
one,for,catching,2
this,time,the,2
wont,talk,about,2
talk,about,her,2
the,Mouse,who,2
to,the,end,2
hurry,to,change,2
subject,of,conversation,2
The,Mouse,did,2
Mouse,did,not,2
went,on,eagerly,2
in,a,sorrowful,2
a,sorrowful,tone,2
and,making,quite,2
making,quite,a,2
back,again,and,2
dont,like,them,2
thought,and,it,2
a,low,trembling,2
low,trembling,voice,2
get,to,the,2
to,the,shore,2
tell,you,my,2
why,it,is,2
had,fallen,into,2
and,the,whole,2
to,them,and,2
and,after,a,2
after,a,few,2
if,she,had,2
and,this,Alice,2
who,seemed,to,2
of,you,and,2
at,once,in,2
once,in,a,2
in,a,large,2
it,for,she,2
for,she,felt,2
she,felt,sure,2
did,not,get,2
Edwin,and,Morcar,2
and,Morcar,the,2
Morcar,the,earls,2
the,earls,of,2
earls,of,Mercia,2
of,Mercia,and,2
Mercia,and,Northumbria,2
your,pardon,said,2
I,said,the,2
found,it,advisable,2
said,the,Duck,2
of,course,you,2
course,you,know,2
you,know,what,2
what,it,means,2
question,is,what,2
what,did,the,2
at,first,was,2
How,are,you,2
are,you,getting,2
you,getting,on,2
as,it,spoke,2
a,melancholy,tone,2
the,Dodo,solemnly,2
the,meaning,of,2
of,the,other,2
I,was,going,2
There,was,no,2
when,they,liked,2
half,an,hour,2
an,hour,or,2
hour,or,so,2
called,out,The,2
and,they,all,2
they,all,crowded,2
all,crowded,round,2
a,long,time,2
while,the,rest,2
to,give,the,2
crowded,round,her,2
out,in,a,2
what,to,do,2
to,do,and,2
in,her,pocket,2
must,have,a,2
know,said,the,2
Of,course,the,2
here,said,the,2
the,whole,thing,2
that,she,did,2
did,not,dare,2
not,dare,to,2
could,not,think,2
not,think,of,2
and,had,to,2
it,was,over,2
was,over,at,2
over,at,last,2
they,sat,down,2
sat,down,again,2
again,in,a,2
the,Mouse,to,2
to,tell,me,2
she,added,in,2
added,in,a,2
in,a,whisper,2
that,it,would,2
it,while,the,2
met,in,the,2
in,the,house,2
always,ready,to,2
and,looking,anxiously,2
looking,anxiously,about,2
nothing,of,the,2
the,sort,said,2
up,and,walking,2
it,pleaded,poor,2
pleaded,poor,Alice,2
so,easily,offended,2
Yes,please,do,2
shook,its,head,2
its,head,impatiently,2
What,a,pity,2
it,was,quite,2
quite,out,of,2
the,opportunity,of,2
I,know,I,2
I,do,said,2
Some,of,the,2
Oh,my,dear,2
half,hoping,that,2
if,it,had,2
moment,that,it,2
were,nowhere,to,2
nowhere,to,be,2
seemed,to,have,2
and,called,out,2
she,ran,off,2
in,the,direction,2
to,explain,the,2
as,she,ran,2
this,she,came,2
the,door,of,2
before,she,had,2
she,had,found,2
and,get,ready,2
went,on,that,2
time,she,had,2
in,the,window,2
it,as,she,2
two,or,three,2
that,stood,near,2
stood,near,the,2
and,put,it,2
out,at,the,2
went,on,growing,2
on,growing,and,2
of,the,window,2
to,herself,Now,2
become,of,me,2
of,the,room,2
I,almost,wish,2
the,middle,of,2
to,grow,up,2
the,other,and,2
came,a,little,2
as,large,as,2
be,afraid,of,2
came,up,to,2
get,in,at,2
at,the,window,2
she,heard,the,2
heard,the,Rabbit,2
spread,out,her,2
out,her,hand,2
her,hand,and,2
snatch,in,the,2
get,hold,of,2
a,little,shriek,2
little,shriek,and,2
of,broken,glass,2
Digging,for,apples,2
said,the,Rabbit,2
me,out,of,2
its,an,arm,2
at,last,she,2
This,time,there,2
time,there,were,2
I,dont,want,2
dont,want,to,2
some,time,without,2
a,good,many,2
she,made,out,2
made,out,the,2
to,go,down,2
go,down,the,2
she,could,and,2
what,would,happen,2
would,happen,next,2
The,first,thing,2
was,a,general,2
the,Rabbits,voice,2
Alice,Well,I,2
I,know,is,2
at,me,like,2
was,a,dead,2
a,dead,silence,2
again,and,Alice,2
Alice,heard,the,2
of,WHAT,thought,2
WHAT,thought,Alice,2
thought,Alice,but,2
but,she,had,2
the,next,moment,2
a,shower,of,2
some,of,them,2
bright,idea,came,2
idea,came,into,2
and,as,it,2
and,was,delighted,2
was,delighted,to,2
delighted,to,find,2
that,she,began,2
soon,as,she,2
moment,she,appeared,2
to,do,said,2
in,the,wood,2
to,my,right,2
my,right,size,2
thing,is,to,2
the,only,difficulty,2
only,difficulty,was,2
difficulty,was,that,2
not,the,smallest,2
among,the,trees,2
look,up,in,2
up,in,a,2
it,out,to,2
the,stick,and,2
it,then,Alice,2
a,long,way,2
all,the,while,2
at,last,it,2
seemed,to,Alice,2
a,good,opportunity,2
so,she,set,2
at,once,and,2
out,of,breath,2
of,breath,and,2
it,was,said,2
I,should,have,2
Id,nearly,forgotten,2
it,to,be,2
I,ought,to,2
to,eat,or,2
Alice,looked,all,2
looked,all,round,2
but,she,did,2
her,about,the,2
on,both,sides,2
sides,of,it,2
the,edge,of,2
the,mushroom,and,2
notice,of,her,2
Alice,looked,at,2
the,Caterpillar,took,2
Caterpillar,took,the,2
Who,are,YOU,2
What,do,you,2
sir,said,Alice,2
see,said,the,2
Alice,replied,very,2
in,a,day,2
Caterpillar,Well,perhaps,2
said,Alice,but,2
to,turn,into,2
turn,into,a,2
a,bit,said,2
bit,said,the,2
to,the,beginning,2
the,beginning,of,2
Alice,felt,a,2
up,and,said,2
I,think,you,2
Alice,could,not,2
all,said,Alice,2
thought,she,might,2
tell,her,something,2
For,some,minutes,2
I,cant,remember,2
all,came,different,2
Alice,replied,in,2
replied,in,a,2
YOU,ARE,OLD,2
ARE,OLD,FATHER,2
OLD,FATHER,WILLIAM,2
at,the,door,2
my,youth,said,2
how,did,you,2
did,you,manage,2
said,Alice,timidly,2
of,the,words,2
and,there,was,2
for,some,minutes,2
the,first,to,2
Alice,hastily,replied,2
you,know,I,2
Alice,said,nothing,2
said,nothing,she,2
nothing,she,had,2
had,never,been,2
wouldnt,be,so,2
to,it,in,2
time,said,the,2
the,Caterpillar,and,2
side,will,make,2
will,make,you,2
make,you,grow,2
side,of,WHAT,2
just,as,if,2
at,the,mushroom,2
this,a,very,2
a,very,difficult,2
the,righthand,bit,2
She,was,a,2
was,a,good,2
no,time,to,2
of,the,lefthand,2
the,lefthand,bit,2
all,she,could,2
be,no,chance,2
no,chance,of,2
she,had,been,2
back,in,a,2
into,her,face,2
Im,NOT,a,2
NOT,a,serpent,2
a,kind,of,2
I,havent,the,2
and,Ive,tried,2
went,on,without,2
on,without,attending,2
without,attending,to,2
attending,to,her,2
more,and,more,2
Alice,who,was,2
down,from,the,2
a,little,girl,2
said,Alice,rather,2
the,Pigeon,in,2
Pigeon,in,a,2
with,such,a,2
was,a,very,2
a,new,idea,2
new,idea,to,2
idea,to,Alice,2
Alice,that,she,2
silent,for,a,2
looking,for,eggs,2
then,said,the,2
in,a,sulky,2
a,sulky,tone,2
settled,down,again,2
and,every,now,2
she,had,to,2
in,her,hands,2
to,work,very,2
at,the,other,2
herself,down,to,2
It,was,so,2
at,first,but,2
few,minutes,and,2
got,back,to,2
with,a,little,2
nibbling,at,the,2
did,not,venture,2
not,venture,to,2
till,she,had,2
footman,in,livery,2
very,curious,to,2
over,to,the,2
play,croquet,The,2
back,into,the,2
into,the,wood,2
was,gone,and,2
on,the,ground,2
near,the,door,2
into,the,sky,2
the,Footman,and,2
Im,on,the,2
looking,up,into,2
the,time,he,2
cant,help,it,2
top,of,his,2
I,shall,sit,2
shall,sit,here,2
this,moment,the,2
to,herself,the,2
seemed,to,think,2
what,am,I,2
I,to,do,2
into,a,large,2
the,other,the,2
the,Duchess,was,2
the,cook,was,2
certainly,too,much,2
of,it,in,2
it,in,the,2
in,the,kitchen,2
the,cook,and,2
tell,me,said,2
whether,it,was,2
for,her,to,2
Duchess,and,thats,2
She,said,the,2
said,the,last,2
didnt,know,that,2
said,very,politely,2
quite,pleased,to,2
did,not,at,2
While,she,was,2
plates,and,dishes,2
The,Duchess,took,2
her,and,the,2
and,the,baby,2
impossible,to,say,2
their,own,business,2
in,a,hoarse,2
Alice,who,felt,2
an,opportunity,of,2
the,day,and,2
anxiously,at,the,2
at,the,cook,2
not,to,be,2
listening,so,she,2
the,Duchess,I,2
as,she,did,2
beat,him,when,2
him,when,he,2
when,he,sneezes,2
Wow,wow,wow,2
of,the,song,2
and,the,poor,2
if,you,like,2
her,as,she,2
I,must,go,2
play,croquet,with,2
croquet,with,the,2
in,all,directions,2
little,thing,was,2
proper,way,of,2
up,into,a,2
had,left,off,2
at,all,a,2
into,its,face,2
not,like,the,2
look,of,the,2
perhaps,it,was,2
there,were,no,2
into,a,pig,2
to,do,with,2
on,for,some,2
just,beginning,to,2
do,with,this,2
felt,that,it,2
would,be,quite,2
a,little,startled,2
of,a,tree,2
when,it,saw,2
a,great,many,2
it,ought,to,2
Would,you,tell,2
to,said,the,2
the,Cat,I,2
said,Alice,Then,2
go,said,the,2
as,I,get,2
added,as,an,2
as,an,explanation,2
if,you,only,2
What,sort,of,2
But,I,dont,2
How,do,you,2
said,Alice,You,2
with,said,the,2
so,said,Alice,2
said,Alice,Well,2
Well,then,the,2
went,on,you,2
you,play,croquet,2
Cat,and,vanished,2
was,looking,at,2
the,place,where,2
it,had,been,2
of,the,baby,2
had,come,back,2
in,a,natural,2
a,natural,way,2
it,again,but,2
up,and,there,2
Did,you,say,2
wish,you,wouldnt,2
Ive,often,seen,2
thing,I,ever,2
of,the,March,2
then,she,walked,2
after,all,I,2
