word,count
I,havent,6
Alice,who,6
very,curious,6
the,Footman,6
Duchess,and,6
the,last,6
you,may,6
its,eyes,6
Its,the,6
the,three,6
of,Hearts,6
he,spoke,6
three,gardeners,6
the,Knave,6
Come,on,6
the,moral,6
moral,of,6
if,he,6
beautiful,Soup,6
their,slates,6
the,Foundation,6
works,in,6
it,away,5
was,beginning,5
tired,of,5
had,no,5
her,own,5
made,her,5
so,VERY,5
in,that,5
it,so,5
hear,the,5
to,itself,5
or,a,5
after,it,5
another,moment,5
get,out,5
out,again,5
that,Alice,5
down,to,5
was,too,5
to,put,5
for,you,5
this,was,5
no,one,5
to,listen,5
again,I,5
you,think,5
think,you,5
you,could,5
should,think,5
wish,you,5
down,here,5
and,thats,5
off,and,5
had,just,5
came,upon,5
was,over,5
moment,she,5
looked,up,5
was,all,5
Oh,my,5
the,hall,5
she,walked,5
how,she,5
key,and,5
little,golden,5
door,and,5
and,found,5
I,only,5
how,to,5
and,see,5
had,got,5
such,as,5
right,size,5
see,if,5
know,said,5
should,be,5
as,to,5
into,her,5
her,eyes,5
she,remembered,5
that,was,5
on,which,5
find,that,5
she,set,5
Alice,she,5
looked,down,5
down,at,5
put,on,5
pair,of,5
and,how,5
feet,high,5
as,much,5
on,one,5
round,her,5
heard,a,5
white,kid,5
kid,gloves,5
hand,and,5
Alice,felt,5
gloves,and,5
not,the,5
the,great,5
in,such,5
to,know,5
on,her,5
go,and,5
up,again,5
As,she,5
hands,and,5
going,on,5
out,that,5
very,glad,5
with,all,5
in,another,5
made,out,5
which,she,5
it,must,5
to,this,5
know,the,5
The,Mouse,5
her,to,5
all,over,5
I,beg,5
beg,your,5
your,pardon,5
Alice,went,5
herself,as,5
talk,about,5
I,wont,5
should,like,5
trembling,voice,5
and,after,5
after,a,5
be,said,5
last,the,5
of,you,5
very,politely,5
him,and,5
found,it,5
thing,said,5
offended,tone,5
without,a,5
while,the,5
what,to,5
he,went,5
think,of,5
to,eat,5
she,added,5
I,had,5
in,reply,5
the,others,5
an,old,5
you,cant,5
looking,for,5
about,and,5
the,chimney,5
can,do,5
kind,of,5
to,grow,5
get,in,5
in,at,5
heard,the,5
like,it,5
she,made,5
out,the,5
Well,I,5
Im,a,5
thought,to,5
herself,I,5
the,mushroom,5
you,mean,5
you,have,5
may,be,5
all,said,5
thought,she,5
Ive,tried,5
rest,of,5
you,wouldnt,5
into,its,5
was,an,5
she,spoke,5
in,any,5
a,serpent,5
then,said,5
he,was,5
would,have,5
play,croquet,5
I,to,5
his,eyes,5
too,much,5
not,to,5
do,with,5
long,as,5
Hatter,and,5
so,said,5
The,Hatter,5
Then,you,5
in,his,5
he,had,5
meaning,in,5
The,Dormouse,5
it,you,5
did,they,5
Alice,Why,5
the,soldiers,5
Queen,said,5
please,your,5
shouted,the,5
the,Queens,5
the,executioner,5
that,he,5
that,makes,5
of,great,5
on,his,5
he,did,5
in,their,5
Will,you,5
not,could,5
can,be,5
any,other,5
next,witness,5
can,not,5
distribution,of,5
comply,with,5
a,Project,5
a,refund,5
in,paragraph,5
work,is,5
Gutenbergtm,works,5
work,in,5
full,Project,5
Gutenbergtm,work,5
the,copyright,5
in,Wonderland,4
Lewis,Carroll,4
this,eBook,4
could,for,4
getting,up,4
was,nothing,4
way,to,4
to,hear,4
Oh,dear,4
shall,be,4
it,over,4
her,feet,4
in,time,4
down,a,4
was,to,4
and,to,4
what,was,4
from,one,4
come,to,4
the,earth,4
see,that,4
opportunity,for,4
as,there,4
say,it,4
no,idea,4
idea,what,4
with,their,4
shall,have,4
what,the,4
is,you,4
it,And,4
do,to,4
so,Alice,4
you,might,4
a,mouse,4
which,way,4
she,put,4
hand,in,4
jumped,up,4
but,they,4
the,second,4
before,and,4
inches,high,4
would,go,4
very,little,4
so,many,4
think,that,4
went,back,4
a,hurry,4
said,and,4
or,not,4
that,if,4
with,you,4
Alice,ventured,4
ventured,to,4
in,fact,4
a,sort,4
felt,a,4
after,the,4
After,a,4
it,she,4
to,leave,4
though,she,4
eyes,and,4
and,if,4
growing,and,4
be,sure,4
nothing,but,4
work,and,4
sure,I,4
I,shant,4
a,new,4
And,how,4
more,than,4
hurried,off,4
Alice,It,4
was,as,4
she,sat,4
well,say,4
But,she,4
of,tears,4
been,changed,4
this,morning,4
herself,to,4
the,things,4
get,to,4
her,voice,4
seems,to,4
house,and,4
to,play,4
to,learn,4
while,she,4
glad,to,4
her,foot,4
once,in,4
her,life,4
much,said,4
thing,to,4
was,only,4
be,the,4
its,a,4
gave,a,4
Oh,I,4
Alice,hastily,4
And,yet,4
is,such,4
over,and,4
any,more,4
to,change,4
change,the,4
the,subject,4
when,you,4
it,again,4
come,back,4
back,again,4
dont,like,4
When,the,4
round,and,4
is,I,4
They,were,4
The,first,4
At,last,4
who,seemed,4
make,you,4
They,all,4
thing,I,4
I,said,4
did,said,4
a,melancholy,4
an,offended,4
explain,it,4
do,it,4
out,a,4
doesnt,matter,4
the,party,4
again,the,4
one,finger,4
replied,very,4
have,you,4
when,it,4
down,again,4
added,in,4
that,her,4
you,had,4
and,looking,4
the,sort,4
back,and,4
opportunity,of,4
you,never,4
enough,to,4
know,I,4
do,said,4
to,talk,4
about,as,4
The,Duchess,4
about,for,4
her,in,4
Mary,Ann,4
had,made,4
when,he,4
Alice,Come,4
dont,think,4
sure,to,4
I,eat,4
make,me,4
did,so,4
become,of,4
that,there,4
a,voice,4
made,a,4
hold,of,4
yer,honour,4
that,in,4
what,would,4
old,fellow,4
all,about,4
begin,with,4
Alice,but,4
with,some,4
to,my,4
tone,and,4
the,puppy,4
mouth,and,4
was,said,4
might,as,4
the,hookah,4
It,isnt,4
Caterpillar,Well,4
all,I,4
the,beginning,4
said,very,4
some,minutes,4
replied,in,4
are,old,4
you,a,4
finished,the,4
my,life,4
or,Ill,4
be,so,4
Then,it,4
no,time,4
it,at,4
She,had,4
Alice,Ive,4
continued,the,4
and,just,4
the,sky,4
every,now,4
was,gone,4
the,ground,4
here,the,4
At,this,4
it,just,4
Thats,the,4
on,and,4
like,said,4
full,of,4
Its,a,4
She,said,4
Alice,quite,4
didnt,know,4
see,the,4
the,song,4
the,look,4
look,of,4
Ill,have,4
I,get,4
had,grown,4
Cheshire,Cat,4
a,tree,4
the,place,4
the,most,4
you,say,4
Hare,said,4
thing,as,4
it,he,4
but,he,4
have,no,4
as,long,4
Then,the,4
the,bottom,4
bottom,of,4
all,this,4
this,last,4
piece,of,4
walked,off,4
low,voice,4
Queen,was,4
their,faces,4
heard,of,4
Majesty,said,4
The,King,4
upon,her,4
her,arm,4
Queen,who,4
voice,of,4
them,with,4
The,Mock,4
on,with,4
a,deep,4
Turtle,said,4
Lobster,Quadrille,4
a,whiting,4
dance,Will,4
you,join,4
the,whiting,4
Beauootiful,Soooop,4
the,jurybox,4
before,the,4
the,Lizard,4
the,officers,4
outside,the,4
the,jurymen,4
part,of,4
the,phrase,4
phrase,Project,4
a,copy,4
associated,with,4
copyright,holder,4
Gutenbergtm,trademark,4
provide,a,4
Information,about,4
Alices,Adventures,3
Adventures,in,3
at,no,3
and,with,3
give,it,3
or,online,3
online,at,3
PROJECT,GUTENBERG,3
ALICES,ADVENTURES,3
ADVENTURES,IN,3
IN,WONDERLAND,3
nothing,to,3
once,or,3
or,twice,3
a,book,3
feel,very,3
sleepy,and,3
when,suddenly,3
think,it,3
say,to,3
but,at,3
it,all,3
seemed,quite,3
seen,a,3
to,take,3
just,in,3
way,and,3
moment,to,3
the,well,3
to,happen,3
happen,next,3
and,make,3
out,what,3
what,she,3
was,coming,3
sides,of,3
noticed,that,3
here,and,3
she,saw,3
but,to,3
for,fear,3
as,this,3
nothing,of,3
Why,I,3
very,likely,3
me,see,3
a,VERY,3
good,opportunity,3
off,her,3
her,knowledge,3
listen,to,3
still,it,3
began,again,3
wonder,if,3
little,girl,3
me,for,3
nothing,else,3
else,to,3
do,so,3
There,are,3
cats,eat,3
eat,bats,3
and,sometimes,3
see,as,3
it,She,3
just,begun,3
begun,to,3
and,saying,3
her,very,3
you,ever,3
on,to,3
in,sight,3
close,behind,3
behind,it,3
she,turned,3
up,by,3
by,a,3
one,side,3
side,and,3
and,up,3
door,she,3
made,of,3
to,one,3
but,alas,3
any,of,3
and,behind,3
tried,the,3
found,that,3
not,much,3
than,a,3
along,the,3
ever,saw,3
thought,poor,3
up,like,3
had,happened,3
half,hoping,3
and,round,3
the,bottle,3
very,well,3
little,Alice,3
first,she,3
marked,poison,3
they,WOULD,3
not,remember,3
it,very,3
she,very,3
it,off,3
And,so,3
high,and,3
and,her,3
up,at,3
thought,that,3
into,that,3
however,she,3
she,waited,3
about,this,3
be,like,3
forgotten,the,3
the,glass,3
leave,off,3
for,this,3
now,thought,3
of,me,3
it,makes,3
me,grow,3
get,into,3
garden,and,3
head,to,3
to,feel,3
surprised,to,3
getting,so,3
so,far,3
great,deal,3
off,to,3
way,you,3
way,I,3
must,go,3
Just,then,3
against,the,3
took,up,3
much,as,3
one,eye,3
was,more,3
again,You,3
You,ought,3
I,tell,3
her,about,3
little,pattering,3
pattering,of,3
a,pair,3
in,one,3
one,hand,3
to,himself,3
any,one,3
as,hard,3
hard,as,3
she,kept,3
as,usual,3
was,I,3
I,almost,3
question,is,3
knew,that,3
for,any,3
and,Im,3
for,I,3
sorts,of,3
of,things,3
Ill,try,3
I,used,3
four,times,3
to,repeat,3
repeat,it,3
are,not,3
little,house,3
look,up,3
I,like,3
of,being,3
the,Rabbits,3
was,talking,3
have,done,3
she,soon,3
soon,found,3
lying,on,3
glass,table,3
her,chin,3
fallen,into,3
go,back,3
been,to,3
had,come,3
you,go,3
find,a,3
a,number,3
then,a,3
However,she,3
she,swam,3
her,way,3
way,out,3
little,way,3
was,at,3
only,a,3
and,seemed,3
over,with,3
William,the,3
like,cats,3
Well,perhaps,3
dont,be,3
half,to,3
the,fire,3
she,is,3
Alice,again,3
again,for,3
time,the,3
Mouse,was,3
hurry,to,3
cant,remember,3
half,of,3
her,as,3
and,making,3
it,went,3
its,face,3
Ill,tell,3
was,getting,3
the,birds,3
into,it,3
whole,party,3
this,and,3
you,and,3
no,more,3
more,to,3
to,me,3
Did,you,3
replied,rather,3
course,you,3
well,enough,3
him,the,3
its,feet,3
dont,believe,3
What,IS,3
and,no,3
Why,said,3
to,explain,3
to,try,3
the,thing,3
I,will,3
they,began,3
all,crowded,3
crowded,round,3
round,it,3
time,with,3
in,which,3
which,you,3
in,silence,3
to,give,3
pointing,to,3
got,into,3
was,exactly,3
course,the,3
in,your,3
had,finished,3
of,anything,3
could,The,3
thing,was,3
the,back,3
last,and,3
certainly,said,3
down,with,3
What,are,3
looking,anxiously,3
head,impatiently,3
impatiently,and,3
and,walked,3
a,pity,3
as,soon,3
Hold,your,3
your,tongue,3
the,young,3
venture,to,3
the,question,3
off,at,3
very,carefully,3
a,trembling,3
voice,to,3
see,you,3
felt,very,3
heard,it,3
ARE,you,3
ran,off,3
can,find,3
upon,it,3
went,in,3
she,should,3
would,happen,3
and,get,3
a,table,3
window,and,3
or,three,3
the,room,3
stood,near,3
and,put,3
eat,or,3
or,drink,3
her,neck,3
put,down,3
out,at,3
the,floor,3
room,for,3
one,foot,3
Now,I,3
there,seemed,3
no,sort,3
chance,of,3
of,life,3
middle,of,3
of,one,3
grow,up,3
at,least,3
a,conversation,3
the,voice,3
came,a,3
quite,forgetting,3
about,a,3
afraid,of,3
and,tried,3
to,open,3
Alice,heard,3
go,round,3
and,made,3
shriek,and,3
broken,glass,3
never,heard,3
but,its,3
This,time,3
time,there,3
and,more,3
do,next,3
only,wish,3
dont,want,3
wouldnt,be,3
be,in,3
I,THINK,3
as,far,3
and,waited,3
she,gave,3
Alice,Well,3
me,like,3
So,you,3
dead,silence,3
take,the,3
of,WHAT,3
and,some,3
As,soon,3
The,poor,3
who,were,3
no,doubt,3
the,only,3
of,all,3
bit,of,3
stick,and,3
the,stick,3
then,Alice,3
in,its,3
time,and,3
and,ran,3
breath,and,3
till,the,3
herself,up,3
the,edge,3
mushroom,and,3
its,arms,3
notice,of,3
Caterpillar,and,3
hookah,out,3
This,was,3
dont,see,3
afraid,I,3
a,day,3
yet,said,3
to,turn,3
to,ME,3
the,conversation,3
state,of,3
back,the,3
after,her,3
Is,that,3
Caterpillar,Alice,3
In,my,3
my,youth,3
old,said,3
the,youth,3
Yet,you,3
shook,his,3
all,my,3
me,to,3
of,your,3
that,is,3
right,said,3
have,got,3
decidedly,and,3
you,want,3
only,one,3
so,often,3
the,creatures,3
put,the,3
Alice,waited,3
was,out,3
were,the,3
the,two,3
this,a,3
they,would,3
off,a,3
little,of,3
did,it,3
be,found,3
which,seemed,3
Alice,And,3
succeeded,in,3
back,in,3
screamed,the,3
Alice,indignantly,3
Pigeon,but,3
what,youre,3
Theres,no,3
Alice,Im,3
Alice,rather,3
the,number,3
that,day,3
Ive,seen,3
little,girls,3
with,such,3
No,no,3
thats,all,3
settled,down,3
at,one,3
so,long,3
felt,quite,3
talking,to,3
them,out,3
two,she,3
she,stood,3
in,livery,3
by,his,3
and,both,3
over,their,3
over,to,3
they,both,3
and,their,3
together,Alice,3
if,a,3
had,the,3
cant,help,3
help,it,3
his,nose,3
But,what,3
to,him,3
was,certainly,3
much,of,3
you,tell,3
me,said,3
little,timidly,3
not,quite,3
whether,it,3
on,again,3
know,that,3
do,Alice,3
not,at,3
and,down,3
down,in,3
as,an,3
very,nearly,3
Duchess,said,3
the,day,3
to,your,3
While,the,3
again,so,3
the,matter,3
could,be,3
eyes,were,3
a,pig,3
rather,a,3
knew,the,3
the,Cheshire,3
Would,you,3
to,said,3
not,be,3
Im,mad,3
Alice,You,3
on,you,3
Cat,and,3
a,grin,3
I,ever,3
not,gone,3
some,more,3
fast,asleep,3
they,saw,3
Hatter,He,3
with,great,3
great,curiosity,3
said,with,3
its,very,3
Im,glad,3
the,answer,3
I,mean,3
mean,what,3
You,might,3
might,just,3
I,see,3
IS,the,3
Hatter,was,3
said,turning,3
Hatter,I,3
the,works,3
he,added,3
of,meaning,3
I,dare,3
dare,say,3
Alice,asked,3
Queen,of,3
to,sing,3
Twinkle,twinkle,3
Here,the,3
exclaimed,Alice,3
Hatter,went,3
into,Alices,3
a,sigh,3
you,come,3
young,lady,3
I,heard,3
a,well,3
they,live,3
puzzled,her,3
this,so,3
youd,better,3
spoke,and,3
You,can,3
last,remark,3
begins,with,3
an,M,3
but,on,3
were,trying,3
she,noticed,3
Thats,very,3
said,Five,3
be,beheaded,3
What,for,3
none,of,3
down,his,3
Knave,of,3
the,procession,3
pack,of,3
of,cards,3
three,of,3
The,Knave,3
Queen,in,3
on,What,3
we,were,3
Majesty,the,3
silent,and,3
on,then,3
said,a,3
He,looked,3
looked,anxiously,3
they,got,3
found,at,3
her,flamingo,3
the,hedgehog,3
to,and,3
feeling,very,3
just,now,3
and,dont,3
Queen,had,3
see,how,3
as,all,3
from,this,3
argument,was,3
makes,them,3
is,of,3
reason,is,3
right,to,3
the,Duchesss,3
Its,all,3
Turtle,in,3
could,hear,3
at,them,3
Thank,you,3
Turtle,went,3
we,went,3
to,school,3
him,Tortoise,3
said,I,3
Yes,said,3
Turtle,replied,3
it,The,3
Gryphon,went,3
his,voice,3
to,sea,3
the,lobsters,3
not,join,3
not,would,3
seen,them,3
their,tails,3
done,with,3
obliged,to,3
the,Lobster,3
as,follows,3
Go,on,3
the,Owl,3
Soooop,of,3
the,eeevening,3
eeevening,Beautiful,3
the,trial,3
thats,the,3
the,jurors,3
court,and,3
slates,and,3
to,write,3
Call,the,3
Majesty,he,3
Give,your,3
your,evidence,3
you,executed,3
officers,of,3
the,list,3
a,poor,3
poor,man,3
King,The,3
that,Dormouse,3
means,of,3
The,jury,3
jury,all,3
the,verses,3
would,change,3
Foundation,and,3
and,you,3
Gutenberg,is,3
complying,with,3
derivative,works,3
mission,of,3
free,distribution,3
or,distributing,3
not,agree,3
agreement,you,3
you,paid,3
a,fee,3
fee,for,3
the,person,3
person,or,3
or,entity,3
as,set,3
to,Project,3
Foundation,the,3
the,public,3
If,an,3
an,individual,3
laws,of,3
the,laws,3
to,or,3
is,posted,3
posted,with,3
permission,of,3
and,any,3
Do,not,3
this,electronic,3
charge,a,3
any,Project,3
the,owner,3
owner,of,3
refund,of,3
in,writing,3
days,of,3
paragraph,1F3,3
volunteers,and,3
you,received,3
received,the,3
to,provide,3
or,limitation,3
and,donations,3
Project,Gutenbergs,2
Gutenbergs,Alices,2
Wonderland,by,2
by,Lewis,2
This,eBook,2
eBook,is,2
is,for,2
of,anyone,2
anyone,anywhere,2
anywhere,at,2
no,cost,2
cost,and,2
with,almost,2
almost,no,2
no,restrictions,2
restrictions,whatsoever,2
whatsoever,You,2
may,copy,2
copy,it,2
it,give,2
away,or,2
or,reuse,2
reuse,it,2
it,under,2
Gutenberg,License,2
License,included,2
included,with,2
eBook,or,2
at,wwwgutenbergorg,2
OF,THIS,2
THIS,PROJECT,2
GUTENBERG,EBOOK,2
EBOOK,ALICES,2
very,tired,2
by,her,2
the,bank,2
of,having,2
the,book,2
was,reading,2
pictures,or,2
or,conversations,2
and,what,2
what,is,2
very,sleepy,2
and,stupid,2
whether,the,2
of,getting,2
suddenly,a,2
Rabbit,with,2
close,by,2
Rabbit,say,2
it,occurred,2
occurred,to,2
her,that,2
she,ought,2
this,but,2
time,it,2
quite,natural,2
but,when,2
on,Alice,2
feet,for,2
a,rabbit,2
across,the,2
the,hedge,2
In,another,2
went,Alice,2
again,The,2
some,way,2
so,suddenly,2
think,about,2
very,deep,2
or,she,2
she,fell,2
very,slowly,2
time,as,2
went,down,2
First,she,2
coming,to,2
see,anything,2
filled,with,2
her,great,2
fear,of,2
managed,to,2
it,into,2
a,fall,2
this,I,2
down,stairs,2
think,me,2
me,at,2
at,home,2
I,wouldnt,2
say,anything,2
even,if,2
Down,down,2
down,down,2
the,fall,2
how,many,2
aloud,I,2
be,getting,2
that,would,2
down,I,2
this,sort,2
lessons,in,2
showing,off,2
was,good,2
what,Latitude,2
or,Longitude,2
funny,itll,2
itll,seem,2
the,people,2
was,rather,2
it,didnt,2
word,but,2
name,of,2
is,this,2
manage,it,2
And,what,2
for,asking,2
itll,never,2
never,do,2
it,written,2
Alice,soon,2
began,talking,2
with,me,2
but,you,2
catch,a,2
a,bat,2
very,like,2
know,But,2
And,here,2
here,Alice,2
of,way,2
Do,cats,2
she,couldnt,2
matter,which,2
She,felt,2
was,walking,2
in,hand,2
very,earnestly,2
me,the,2
eat,a,2
over,Alice,2
she,jumped,2
up,on,2
feet,in,2
was,another,2
passage,and,2
Rabbit,was,2
still,in,2
it,There,2
be,lost,2
the,wind,2
wind,and,2
it,say,2
it,turned,2
turned,a,2
ears,and,2
and,whiskers,2
its,getting,2
was,close,2
it,when,2
a,row,2
row,of,2
hall,but,2
all,made,2
nothing,on,2
except,a,2
a,tiny,2
and,Alices,2
or,the,2
the,key,2
key,was,2
round,she,2
opened,the,2
led,into,2
longed,to,2
hall,and,2
flowers,and,2
and,those,2
cool,fountains,2
not,even,2
get,her,2
and,even,2
go,through,2
be,of,2
of,very,2
little,use,2
my,shoulders,2
a,telescope,2
only,knew,2
outoftheway,things,2
that,very,2
very,few,2
few,things,2
door,so,2
it,or,2
or,at,2
little,bottle,2
it,which,2
certainly,was,2
before,said,2
bottle,was,2
words,DRINK,2
DRINK,ME,2
well,to,2
had,read,2
nice,little,2
things,all,2
because,they,2
the,simple,2
as,that,2
that,a,2
hold,it,2
it,too,2
long,and,2
forgotten,that,2
from,a,2
a,bottle,2
this,bottle,2
soon,finished,2
now,only,2
brightened,up,2
the,thought,2
now,the,2
size,for,2
that,lovely,2
lovely,garden,2
waited,for,2
little,nervous,2
nervous,about,2
a,candle,2
to,fancy,2
candle,is,2
remember,ever,2
ever,having,2
having,seen,2
seen,such,2
a,while,2
nothing,more,2
she,decided,2
Alice,when,2
found,she,2
table,but,2
out,with,2
Come,theres,2
very,good,2
to,bring,2
and,once,2
once,she,2
for,having,2
a,game,2
game,of,2
herself,for,2
fond,of,2
be,two,2
two,people,2
its,no,2
use,now,2
Why,theres,2
theres,hardly,2
enough,of,2
her,eye,2
eye,fell,2
little,glass,2
was,lying,2
she,opened,2
opened,it,2
found,in,2
makes,me,2
grow,larger,2
smaller,I,2
little,bit,2
Which,way,2
same,size,2
size,to,2
happens,when,2
when,one,2
got,so,2
it,seemed,2
way,So,2
much,surprised,2
that,for,2
quite,forgot,2
ever,was,2
were,getting,2
far,off,2
my,poor,2
feet,I,2
on,your,2
